"year","month","day","ssp126","ssp245","ssp370","ssp585"
2027,8,6,2.1683,0.0034,10.474,1.3844
2027,8,7,0.0524,0.0112,0.7841,0.6667
2027,8,8,0,12.18,0.3615,1.3949
2027,8,9,0.5094,7.6681,0,14.7108
2027,8,10,0.1857,0.153,3.6565,2.7433
2027,8,11,2.4573,0.0067,1.725,3.2865
2027,8,12,1.6027,0.0053,0.0099,12.4948
2027,8,13,2.4332,0.0657,1.2566,0.3918
2027,8,14,7.655,4.6659,2.2729,6e-04
2027,8,15,0.3755,31.2891,0.0158,0.2486
2027,8,16,0,7.9637,0,5.775
2027,8,17,0,0.071,2e-04,1.1324
2027,8,18,1.1549,3.018,0.0668,4.87
2027,8,19,4.7062,5.7231,0,1.4647
2027,8,20,12.6153,3.5302,0,0.0076
2027,8,21,6.8285,0.3819,0.0343,3.2368
2027,8,22,1.5201,0.6331,0.6918,8.0932
2027,8,23,0.2461,5.2945,2.7104,4.933
2027,8,24,5.388,0.0118,3.2593,0.3989
2027,8,25,0,0.2217,0,15.5619
2027,8,26,0,0.9497,0.0366,4.6851
2027,8,27,8e-04,6.4361,5.2489,1.5935
2027,8,28,0.0741,0.3376,6.7026,0.5261
2027,8,29,0.0121,0.0164,4.9857,0.0109
2027,8,30,1.6867,0,0.1791,0.0105
2027,8,31,1.358,0.0052,4.5177,0.0106
2028,8,1,1.2385,1.8252,23.1753,1.1642
2028,8,2,0,2.787,5.5944,3.6595
2028,8,3,2e-04,5.6778,0.2819,0.3412
2028,8,4,0.0971,8.2861,0.3372,0
2028,8,5,0.1223,2.5333,1.2563,0.0023
2028,8,6,5.4194,9.6665,10.8614,6.2461
2028,8,7,0.0879,9.1947,1.0182,0.9325
2028,8,8,48.3578,3.9725,0.0162,0
2028,8,9,1.5792,2.8364,0.62,0
2028,8,10,0.6463,0.0905,9.515,0
2028,8,11,0.5886,0.1026,0.1304,12.6023
2028,8,12,4.6709,0.2483,0,7.8994
2028,8,13,6.04,0.0589,1.4515,0.3246
2028,8,14,10.2161,4.2916,5.5306,1.4311
2028,8,15,6.3279,3.4645,6.1065,14.0821
2028,8,16,2.2084,3.6028,9.6633,6.3148
2028,8,17,5.3527,3.3588,12.0056,4.9377
2028,8,18,0.7281,0.0647,0.7045,13.9468
